State,County,Cases,Deaths,Lat,Long
Michigan,Alcona,981,41,-83.59379,44.6854232
Michigan,Alger,614,4,-86.603719,46.408614299999996
Michigan,Allegan,15535,187,-85.888191,42.5912512
Michigan,Alpena,2915,77,-83.628298,45.034817499999996
Michigan,Antrim,2082,36,-85.14020699999999,44.9990804
Michigan,Arenac,1857,41,-83.895003,44.0654593
Michigan,Baraga,1154,44,-88.365266,46.6624711
Michigan,Barry,7931,92,-85.308973,42.595021
Michigan,Bay,15445,398,-83.992037,43.7073289
Michigan,Benzie,1583,40,-86.01554399999999,44.6387151
Michigan,Berrien,18828,319,-86.412223,41.954687
Michigan,Branch,6713,113,-85.059028,41.9161093
Michigan,Calhoun,17909,357,-85.005584,42.2465365
Michigan,Cass,6766,90,-85.993454,41.91539279999999
Michigan,Charlevoix,2073,35,-85.124002,45.303318100000006
Michigan,Cheboygan,2394,69,-84.500377,45.4460469
Michigan,Chippewa,1805,44,-84.594066,46.30381920000001
Michigan,Clare,3763,110,-84.847831,43.9878737
Michigan,Clinton,8388,121,-84.601514,42.94365429999999
Michigan,Crawford,1417,17,-84.610322,44.6836179
Michigan,Delta,5253,97,-86.924488,45.9196664
Michigan,Detroit City,67716,2502,-83.04799999999999,42.33168
Michigan,Dickinson,3287,68,-87.87028000000001,46.009223999999996
Michigan,Eaton,13246,255,-84.838321,42.5960749
Michigan,Emmet,2872,54,-84.89032900000001,45.520251
Michigan,FCI,316,5,-84.196698,44.1251998
Michigan,Genesee,45636,1065,-83.706755,43.0217016
Michigan,Gladwin,3048,77,-84.388231,43.9906941
Michigan,Gogebic,1598,27,-89.694511,46.408927899999995
Michigan,Grand Traverse,8666,108,-85.560476,44.668679299999994
Michigan,Gratiot,5000,133,-84.604893,43.292716299999995
Michigan,Hillsdale,6425,135,-84.592926,41.8877641
Michigan,Houghton,4203,49,-88.687649,46.8976634
Michigan,Huron,4174,92,-83.018893,43.833306799999995
Michigan,Ingham,31006,476,-84.37353399999999,42.5970924
Michigan,Ionia,10048,106,-85.074586,42.94508870000001
Michigan,Iosco,3058,97,-83.635898,44.3558242
Michigan,Iron,1485,51,-88.530625,46.2086631
Michigan,Isabella,8525,131,-84.846786,43.64058970000001
Michigan,Jackson,22198,350,-84.42345,42.2484823
Michigan,Kalamazoo,29725,429,-85.53116999999999,42.245437200000005
Michigan,Kalkaska,1879,39,-85.090244,44.6846825
Michigan,Kent,97893,956,-85.549298,43.032162
Michigan,Keweenaw,303,7,-88.128309,47.3618216
Michigan,Lake,1011,21,-85.80163399999999,43.9900479
Michigan,Lapeer,10828,254,-83.221786,43.0901321
Michigan,Leelanau,1530,28,-85.811823,44.9384907
Michigan,Lenawee,13330,206,-84.066372,41.8950816
Michigan,Livingston,23207,254,-83.911524,42.602918200000005
Michigan,Luce,397,4,-85.54429300000001,46.470688200000005
Michigan,MDOC,26023,153,-84.196698,44.1251998
Michigan,Mackinac,948,13,-85.094925,46.0816499
Michigan,Macomb,123812,2656,-82.932399,42.69583370000001
Michigan,Manistee,1760,38,-86.056664,44.3329659
Michigan,Marquette,6541,83,-87.641593,46.431252799999996
Michigan,Mason,3699,53,-86.249943,43.9952659
Michigan,Mecosta,5188,54,-85.324621,43.6408107
Michigan,Menominee,2791,47,-87.556591,45.5800815
Michigan,Midland,10696,145,-84.38811,43.6468649
Michigan,Missaukee,1644,28,-85.094676,44.33731289999999
Michigan,Monroe,18985,291,-83.53931899999999,41.929391100000004
Michigan,Montcalm,8907,135,-85.152502,43.3109547
Michigan,Montmorency,880,31,-84.12718100000001,45.027561999999996
Michigan,Muskegon,23943,420,-86.152,43.2912071
Michigan,Newaygo,7067,89,-85.80089,43.554184899999996
Michigan,Oakland,140982,2593,-83.3858,42.6603735
Michigan,Oceana,4055,66,-86.267567,43.640890399999996
Michigan,Ogemaw,2477,64,-84.126425,44.3349416
Michigan,Ontonagon,603,22,-89.314985,46.664405200000004
Michigan,Osceola,3004,48,-85.325257,43.9898326
Michigan,Oscoda,893,40,-84.129734,44.681756
Michigan,Otsego,2940,59,-84.59895999999999,45.0214565
Michigan,Ottawa,43733,477,-85.995166,42.9607123
Michigan,Out of State,2466,25,-84.196698,44.1251998
Michigan,Presque Isle,1209,41,-83.918534,45.34087460000001
Michigan,Roscommon,2513,71,-84.611613,44.3356117
Michigan,Saginaw,28474,672,-84.053178,43.3350249
Michigan,Sanilac,4942,136,-82.820126,43.4235662
Michigan,Schoolcraft,697,5,-86.19959,46.196577399999995
Michigan,Shiawassee,8716,137,-84.146743,42.9537374
Michigan,St. Clair,20879,518,-82.68086600000001,42.9392559
Michigan,St. Joseph,8423,120,-85.52774699999999,41.914421399999995
Michigan,Tuscola,7072,196,-83.416823,43.464126799999995
Michigan,Unknown,17,1,-84.196698,44.1251998
Michigan,Van Buren,9859,161,-86.01889,42.2513073
Michigan,Washtenaw,33367,328,-83.838776,42.2532294
Michigan,Wayne,137412,2930,-83.282201,42.28208
Michigan,Wexford,3628,58,-85.57838199999999,44.338361799999994
