Date,Cases,Deaths,Daily Cases,Daily Deaths
2020-03-10,2,0,0,0
2020-03-11,2,0,0,0
2020-03-12,12,0,10,0
2020-03-13,25,0,13,0
2020-03-14,33,0,8,0
2020-03-15,53,0,20,0
2020-03-16,54,0,1,0
2020-03-17,65,0,11,0
2020-03-18,80,1,15,1
2020-03-19,334,3,254,2
2020-03-20,549,3,215,0
2020-03-21,787,5,238,2
2020-03-22,1035,8,248,3
2020-03-23,1328,15,293,7
2020-03-24,1791,24,463,9
2020-03-25,2294,43,503,19
2020-03-26,2856,60,562,17
2020-03-27,3657,92,801,32
2020-03-28,4650,111,993,19
2020-03-29,5486,132,836,21
2020-03-30,6498,184,1012,52
2020-03-31,7615,259,1117,75
2020-04-01,9334,337,1719,78
2020-04-02,10791,417,1457,80
2020-04-03,12744,479,1953,62
2020-04-04,14225,540,1481,61
2020-04-05,15718,617,1493,77
2020-04-06,17221,727,1503,110
2020-04-07,18970,845,1749,118
2020-04-08,20346,959,1376,114
2020-04-09,21504,1076,1158,117
2020-04-10,22783,1281,1279,205
2020-04-11,23993,1392,1210,111
2020-04-12,24638,1487,645,95
2020-04-13,25635,1602,997,115
2020-04-14,27001,1768,1366,166
2020-04-15,28059,1921,1058,153
2020-04-16,29263,2093,1204,172
2020-04-17,30023,2227,760,134
2020-04-18,30791,2308,768,81
2020-04-19,31424,2391,633,83
2020-04-20,31996,2468,572,77
2020-04-21,32967,2700,971,232
2020-04-22,33966,2813,999,113
2020-04-23,35291,2977,1325,164
2020-04-24,36641,3085,1350,108
2020-04-25,37203,3274,562,189
2020-04-26,37778,3315,575,41
2020-04-27,38210,3407,432,92
2020-04-28,39262,3567,1052,160
2020-04-29,40399,3670,1137,103
2020-04-30,41379,3789,980,119
2020-05-01,42356,3866,977,77
2020-05-02,43207,4020,851,154
2020-05-03,43754,4049,547,29
2020-05-04,43950,4135,196,86
2020-05-05,44397,4179,447,44
2020-05-06,45054,4250,657,71
2020-05-07,45646,4343,592,93
2020-05-08,46326,4393,680,50
2020-05-09,46756,4526,430,133
2020-05-10,47138,4551,382,25
2020-05-11,47552,4584,414,33
2020-05-12,48021,4674,469,90
2020-05-13,48391,4714,370,40
2020-05-14,49582,4787,1191,73
2020-05-15,50079,4825,497,38
2020-05-16,50504,4880,425,55
2020-05-17,51142,4891,638,11
2020-05-18,51915,4915,773,24
2020-05-19,52350,5017,435,102
2020-05-20,53009,5060,659,43
2020-05-21,53510,5129,501,69
2020-05-22,53913,5158,403,29
2020-05-23,54365,5223,452,65
2020-05-24,54679,5228,314,5
2020-05-25,54870,5239,191,11
2020-05-26,55104,5266,234,27
2020-05-27,55608,5334,504,68
2020-05-28,56014,5372,406,38
2020-05-29,56621,5406,607,34
2020-05-30,56884,5463,263,57
2020-05-31,57397,5491,513,28
2020-06-01,57532,5516,135,25
2020-06-02,57731,5553,199,37
2020-06-03,58035,5570,304,17
2020-06-04,58241,5595,206,25
2020-06-05,58525,5616,284,21
2020-06-06,58749,5652,224,36
2020-06-07,58870,5656,121,4
2020-06-08,58999,5673,129,17
2020-06-09,59107,5698,108,25
2020-06-10,59278,5711,171,13
2020-06-11,59496,5738,218,27
2020-06-12,59621,5745,125,7
2020-06-13,59801,5768,180,23
2020-06-14,59990,5771,189,3
2020-06-15,60064,5773,74,2
2020-06-16,60189,5790,125,17
2020-06-17,60393,5792,204,2
2020-06-18,60618,5818,225,26
2020-06-19,60829,5823,211,5
2020-06-20,61084,5843,255,20
2020-06-21,61230,5846,146,3
2020-06-22,61409,5853,179,7
2020-06-23,61630,5864,221,11
2020-06-24,61953,5868,323,4
2020-06-25,62306,5886,353,18
2020-06-26,62695,5888,389,2
2020-06-27,63009,5907,314,19
2020-06-28,63261,5912,252,5
2020-06-29,63497,5915,236,3
2020-06-30,63870,5947,373,32
2020-07-01,64132,5951,262,4
2020-07-02,64675,5966,543,15
2020-07-03,65135,5969,460,3
2020-07-04,65533,5972,398,3
2020-07-05,65876,5972,343,0
2020-07-06,66173,5975,297,3
2020-07-07,66627,6005,454,30
2020-07-08,67237,6015,610,10
2020-07-09,67683,6024,446,9
2020-07-10,68295,6039,612,15
2020-07-11,68948,6067,653,28
2020-07-12,69338,6068,390,1
2020-07-13,69722,6075,384,7
2020-07-14,70306,6081,584,6
2020-07-15,71197,6085,891,4
2020-07-16,71842,6101,645,16
2020-07-17,72502,6108,660,7
2020-07-18,73180,6117,678,9
2020-07-19,73663,6119,483,2
2020-07-20,74152,6126,489,7
2020-07-21,74725,6135,573,9
2020-07-22,75248,6141,523,6
2020-07-23,75947,6148,699,7
2020-07-24,76966,6149,1019,1
2020-07-25,76978,6149,12,0
2020-07-26,78019,6149,1041,0
2020-07-27,78507,6154,488,5
2020-07-28,79176,6170,669,16
2020-07-29,80172,6172,996,2
2020-07-30,80887,6191,715,19
2020-07-31,81621,6199,734,8
2020-08-01,82356,6206,735,7
2020-08-02,82782,6206,426,0
2020-08-03,83386,6216,604,10
2020-08-04,84050,6219,664,3
2020-08-05,84707,6221,657,2
2020-08-06,85429,6247,722,26
