Date,Date Label,County,Cases,Deaths
3/10/2020,3/11/2020,Oakland,1,0
3/10/2020,3/11/2020,Wayne,1,0
3/11/2020,3/12/2020,Oakland,1,0
3/11/2020,3/12/2020,Wayne,1,0
3/12/2020,3/13/2020,Ingham,1,0
3/12/2020,3/13/2020,Kent,3,0
3/12/2020,3/13/2020,Montcalm,1,0
3/12/2020,3/13/2020,Oakland,3,0
3/12/2020,3/13/2020,St. Clair,1,0
3/12/2020,3/13/2020,Washtenaw,2,0
3/12/2020,3/13/2020,Wayne,1,0
3/13/2020,3/14/2020,Bay,1,0
3/13/2020,3/14/2020,Charlevoix,1,0
3/13/2020,3/14/2020,Detroit City,2,0
3/13/2020,3/14/2020,Ingham,1,0
3/13/2020,3/14/2020,Kent,3,0
3/13/2020,3/14/2020,Macomb,1,0
3/13/2020,3/14/2020,Montcalm,1,0
3/13/2020,3/14/2020,Not Reported,1,0
3/13/2020,3/14/2020,Oakland,6,0
3/13/2020,3/14/2020,St. Clair,1,0
3/13/2020,3/14/2020,Washtenaw,3,0
3/13/2020,3/14/2020,Wayne,4,0
3/14/2020,3/15/2020,Bay,1,0
3/14/2020,3/15/2020,Charlevoix,1,0
3/14/2020,3/15/2020,Detroit City,3,0
3/14/2020,3/15/2020,Ingham,1,0
3/14/2020,3/15/2020,Kent,3,0
3/14/2020,3/15/2020,Macomb,2,0
3/14/2020,3/15/2020,Monroe,1,0
3/14/2020,3/15/2020,Montcalm,1,0
3/14/2020,3/15/2020,Not Reported,1,0
3/14/2020,3/15/2020,Oakland,9,0
3/14/2020,3/15/2020,St. Clair,1,0
3/14/2020,3/15/2020,Washtenaw,3,0
3/14/2020,3/15/2020,Wayne,6,0
3/15/2020,3/16/2020,Bay,1,0
3/15/2020,3/16/2020,Charlevoix,1,0
3/15/2020,3/16/2020,Detroit City,6,0
3/15/2020,3/16/2020,Ingham,1,0
3/15/2020,3/16/2020,Kent,5,0
3/15/2020,3/16/2020,Macomb,5,0
3/15/2020,3/16/2020,Monroe,1,0
3/15/2020,3/16/2020,Montcalm,1,0
3/15/2020,3/16/2020,Not Reported,1,0
3/15/2020,3/16/2020,Oakland,14,0
3/15/2020,3/16/2020,Ottawa,1,0
3/15/2020,3/16/2020,St. Clair,2,0
3/15/2020,3/16/2020,Washtenaw,6,0
3/15/2020,3/16/2020,Wayne,8,0
3/16/2020,3/17/2020,Bay,1,0
3/16/2020,3/17/2020,Charlevoix,1,0
3/16/2020,3/17/2020,Detroit City,6,0
3/16/2020,3/17/2020,Ingham,1,0
3/16/2020,3/17/2020,Kent,5,0
3/16/2020,3/17/2020,Macomb,6,0
3/16/2020,3/17/2020,Monroe,1,0
3/16/2020,3/17/2020,Montcalm,1,0
3/16/2020,3/17/2020,Oakland,14,0
3/16/2020,3/17/2020,Ottawa,1,0
3/16/2020,3/17/2020,St. Clair,2,0
3/16/2020,3/17/2020,Washtenaw,7,0
3/16/2020,3/17/2020,Wayne,8,0
3/17/2020,3/18/2020,Bay,1,0
3/17/2020,3/18/2020,Charlevoix,1,0
3/17/2020,3/18/2020,Detroit City,8,0
3/17/2020,3/18/2020,Ingham,2,0
3/17/2020,3/18/2020,Jackson,1,0
3/17/2020,3/18/2020,Kent,5,0
3/17/2020,3/18/2020,Leelanau,1,0
3/17/2020,3/18/2020,Macomb,8,0
3/17/2020,3/18/2020,Monroe,1,0
3/17/2020,3/18/2020,Montcalm,1,0
3/17/2020,3/18/2020,Oakland,16,0
3/17/2020,3/18/2020,Otsego,1,0
3/17/2020,3/18/2020,Ottawa,1,0
3/17/2020,3/18/2020,St. Clair,2,0
3/17/2020,3/18/2020,Washtenaw,7,0
3/17/2020,3/18/2020,Wayne,9,0
3/18/2020,3/19/2020,Bay,1,0
3/18/2020,3/19/2020,Charlevoix,1,0
3/18/2020,3/19/2020,Detroit City,13,0
3/18/2020,3/19/2020,Ingham,2,0
3/18/2020,3/19/2020,Jackson,1,0
3/18/2020,3/19/2020,Kent,5,0
3/18/2020,3/19/2020,Leelanau,1,0
3/18/2020,3/19/2020,Macomb,10,0
3/18/2020,3/19/2020,Monroe,1,0
3/18/2020,3/19/2020,Montcalm,1,0
3/18/2020,3/19/2020,Oakland,23,0
3/18/2020,3/19/2020,Otsego,1,0
3/18/2020,3/19/2020,Ottawa,1,0
3/18/2020,3/19/2020,St. Clair,2,0
3/18/2020,3/19/2020,Washtenaw,7,0
3/18/2020,3/19/2020,Wayne,10,1
3/19/2020,3/20/2020,Bay,1,0
3/19/2020,3/20/2020,Charlevoix,1,0
3/19/2020,3/20/2020,Clinton,1,0
3/19/2020,3/20/2020,Detroit City,75,2
3/19/2020,3/20/2020,Eaton,2,0
3/19/2020,3/20/2020,Ingham,6,0
3/19/2020,3/20/2020,Jackson,1,0
3/19/2020,3/20/2020,Kent,7,0
3/19/2020,3/20/2020,Leelanau,1,0
3/19/2020,3/20/2020,Livingston,1,0
3/19/2020,3/20/2020,Macomb,55,0
3/19/2020,3/20/2020,Midland,1,0
3/19/2020,3/20/2020,Monroe,2,0
3/19/2020,3/20/2020,Montcalm,1,0
3/19/2020,3/20/2020,Not Reported,10,0
3/19/2020,3/20/2020,Oakland,105,0
3/19/2020,3/20/2020,Otsego,1,0
3/19/2020,3/20/2020,Ottawa,1,0
3/19/2020,3/20/2020,St. Clair,4,0
3/19/2020,3/20/2020,Washtenaw,14,0
3/19/2020,3/20/2020,Wayne,44,1
3/20/2020,3/21/2020,Bay,1,0
3/20/2020,3/21/2020,Charlevoix,1,0
3/20/2020,3/21/2020,Clinton,1,0
3/20/2020,3/21/2020,Detroit City,149,2
3/20/2020,3/21/2020,Eaton,2,0
3/20/2020,3/21/2020,Genesee,1,0
3/20/2020,3/21/2020,Ingham,7,0
3/20/2020,3/21/2020,Jackson,1,0
3/20/2020,3/21/2020,Kent,12,0
3/20/2020,3/21/2020,Leelanau,1,0
3/20/2020,3/21/2020,Livingston,3,0
3/20/2020,3/21/2020,Macomb,86,0
3/20/2020,3/21/2020,Midland,3,0
3/20/2020,3/21/2020,Monroe,3,0
3/20/2020,3/21/2020,Montcalm,1,0
3/20/2020,3/21/2020,Oakland,184,0
3/20/2020,3/21/2020,Otsego,1,0
3/20/2020,3/21/2020,Ottawa,1,0
3/20/2020,3/21/2020,Out of State,1,0
3/20/2020,3/21/2020,St. Clair,7,0
3/20/2020,3/21/2020,Washtenaw,16,0
3/20/2020,3/21/2020,Wayne,67,1
3/21/2020,3/22/2020,Barry,1,0
3/21/2020,3/22/2020,Bay,1,0
3/21/2020,3/22/2020,Berrien,2,0
3/21/2020,3/22/2020,Calhoun,1,0
3/21/2020,3/22/2020,Charlevoix,1,0
3/21/2020,3/22/2020,Clare,1,0
3/21/2020,3/22/2020,Clinton,2,0
3/21/2020,3/22/2020,Detroit City,248,3
3/21/2020,3/22/2020,Eaton,2,0
3/21/2020,3/22/2020,Genesee,7,0
3/21/2020,3/22/2020,Ingham,11,0
3/21/2020,3/22/2020,Jackson,1,0
3/21/2020,3/22/2020,Kent,21,0
3/21/2020,3/22/2020,Leelanau,1,0
3/21/2020,3/22/2020,Livingston,6,0
3/21/2020,3/22/2020,Macomb,101,0
3/21/2020,3/22/2020,Midland,3,0
3/21/2020,3/22/2020,Monroe,3,0
3/21/2020,3/22/2020,Montcalm,1,0
3/21/2020,3/22/2020,Oakland,229,1
3/21/2020,3/22/2020,Otsego,1,0
3/21/2020,3/22/2020,Ottawa,2,0
3/21/2020,3/22/2020,Out of State,1,0
3/21/2020,3/22/2020,Saginaw,1,0
3/21/2020,3/22/2020,St. Clair,7,0
3/21/2020,3/22/2020,Tuscola,1,0
3/21/2020,3/22/2020,Washtenaw,29,0
3/21/2020,3/22/2020,Wayne,101,1
3/21/2020,3/22/2020,Wexford,1,0
3/22/2020,3/23/2020,Allegan,1,0
3/22/2020,3/23/2020,Barry,1,0
3/22/2020,3/23/2020,Bay,1,0
3/22/2020,3/23/2020,Berrien,3,0
3/22/2020,3/23/2020,Calhoun,2,0
3/22/2020,3/23/2020,Charlevoix,2,0
3/22/2020,3/23/2020,Clare,1,0
3/22/2020,3/23/2020,Clinton,2,0
3/22/2020,3/23/2020,Detroit City,325,4
3/22/2020,3/23/2020,Eaton,2,0
3/22/2020,3/23/2020,Emmet,1,0
3/22/2020,3/23/2020,Genesee,14,0
3/22/2020,3/23/2020,Gladwin,1,0
3/22/2020,3/23/2020,Grand Traverse,1,0
3/22/2020,3/23/2020,Ingham,11,0
3/22/2020,3/23/2020,Jackson,1,0
3/22/2020,3/23/2020,Kent,20,1
