Date,County,Metrics,Values
2020-03-10,Alcona,Daily_Cases,0.0
2020-03-11,Alcona,Daily_Cases,0.0
2020-03-12,Alcona,Daily_Cases,0.0
2020-03-13,Alcona,Daily_Cases,0.0
2020-03-14,Alcona,Daily_Cases,0.0
2020-03-15,Alcona,Daily_Cases,0.0
2020-03-16,Alcona,Daily_Cases,0.0
2020-03-17,Alcona,Daily_Cases,0.0
2020-03-18,Alcona,Daily_Cases,0.0
2020-03-19,Alcona,Daily_Cases,0.0
2020-03-20,Alcona,Daily_Cases,0.0
2020-03-21,Alcona,Daily_Cases,0.0
2020-03-22,Alcona,Daily_Cases,0.0
2020-03-23,Alcona,Daily_Cases,0.0
2020-03-24,Alcona,Daily_Cases,0.0
2020-03-25,Alcona,Daily_Cases,0.0
2020-03-26,Alcona,Daily_Cases,0.0
2020-03-27,Alcona,Daily_Cases,0.0
2020-03-28,Alcona,Daily_Cases,0.0
2020-03-29,Alcona,Daily_Cases,0.0
2020-03-30,Alcona,Daily_Cases,0.0
2020-03-31,Alcona,Daily_Cases,0.0
2020-04-01,Alcona,Daily_Cases,0.0
2020-04-02,Alcona,Daily_Cases,0.0
2020-04-03,Alcona,Daily_Cases,0.0
2020-04-04,Alcona,Daily_Cases,0.0
2020-04-05,Alcona,Daily_Cases,0.0
2020-04-06,Alcona,Daily_Cases,0.0
2020-04-07,Alcona,Daily_Cases,0.0
2020-04-08,Alcona,Daily_Cases,0.0
2020-04-09,Alcona,Daily_Cases,0.0
2020-04-10,Alcona,Daily_Cases,0.0
2020-04-11,Alcona,Daily_Cases,0.0
2020-04-12,Alcona,Daily_Cases,0.0
2020-04-13,Alcona,Daily_Cases,0.0
2020-04-14,Alcona,Daily_Cases,0.0
2020-04-15,Alcona,Daily_Cases,1.0
2020-04-16,Alcona,Daily_Cases,0.0
2020-04-17,Alcona,Daily_Cases,0.0
2020-04-18,Alcona,Daily_Cases,0.0
2020-04-19,Alcona,Daily_Cases,0.0
2020-04-20,Alcona,Daily_Cases,-1.0
2020-04-21,Alcona,Daily_Cases,3.0
